simulation_time_s,obj_index,speed_mps,brake,pos_x,pos_y,pos_z
0.00,0,0.00,0.00,11.64,-105.53,0.25
1.00,0,0.14,0.00,11.63,-105.53,0.25
2.00,0,0.78,0.00,11.44,-105.51,0.25
3.00,0,0.88,0.00,11.07,-105.51,0.25
4.00,0,0.61,0.00,10.79,-105.57,0.25
5.00,0,0.69,0.00,10.57,-105.58,0.25
6.00,0,1.12,0.00,10.22,-105.51,0.25
7.00,0,1.14,0.00,9.73,-105.47,0.25
8.00,0,0.79,0.00,9.34,-105.47,0.25
9.00,0,0.79,0.00,9.07,-105.52,0.25
10.00,0,1.24,0.00,8.66,-105.55,0.25
11.00,0,1.23,0.00,8.13,-105.55,0.25
12.00,0,0.85,0.00,7.74,-105.47,0.25
13.00,0,0.85,0.00,7.44,-105.45,0.25
14.00,0,1.05,0.00,6.98,-105.55,0.25
15.00,0,1.04,0.00,6.52,-105.59,0.25
16.00,0,0.72,0.00,6.18,-105.59,0.25
17.00,0,0.74,0.00,5.93,-105.55,0.25
18.00,0,0.79,0.00,5.62,-105.54,0.25
19.00,0,0.66,0.00,5.35,-105.60,0.25
20.00,0,0.64,0.00,5.10,-105.61,0.25
21.00,0,0.75,0.00,4.84,-105.57,0.25
22.00,0,0.78,0.00,4.53,-105.55,0.25
23.00,0,0.68,0.00,4.24,-105.55,0.25
24.00,0,0.64,0.00,3.98,-105.58,0.25
25.00,0,0.72,0.00,3.73,-105.60,0.25
26.00,0,0.85,0.00,3.42,-105.61,0.25
27.00,0,0.86,0.00,3.05,-105.64,0.25
28.00,0,0.48,0.00,2.80,-105.65,0.25
29.00,0,0.68,0.00,2.59,-105.67,0.25
30.00,0,0.86,0.00,2.27,-105.70,0.25
31.00,0,0.88,0.00,1.89,-105.73,0.25
32.00,0,0.54,0.00,1.62,-105.76,0.25
33.00,0,0.81,0.00,1.38,-105.79,0.25
34.00,0,0.84,0.00,1.03,-105.84,0.25
35.00,0,0.73,0.00,0.72,-105.89,0.25
36.00,0,0.87,0.00,0.42,-105.95,0.25
37.00,0,0.83,0.00,0.09,-106.01,0.25
38.00,0,0.79,0.00,-0.22,-106.09,0.25
39.00,0,0.82,0.00,-0.54,-106.16,0.25
40.00,0,0.78,0.00,-0.84,-106.25,0.25
41.00,0,0.79,0.00,-1.14,-106.34,0.25
42.00,0,0.81,0.00,-1.44,-106.44,0.25
43.00,0,0.78,0.00,-1.74,-106.55,0.25
44.00,0,0.82,0.00,-2.03,-106.67,0.25
45.00,0,0.79,0.00,-2.32,-106.80,0.25
46.00,0,0.76,0.00,-2.60,-106.93,0.25
47.00,0,0.79,0.00,-2.88,-107.07,0.25
48.00,0,0.80,0.00,-3.16,-107.22,0.25
49.00,0,0.78,0.00,-3.43,-107.38,0.25
50.00,0,0.78,0.00,-3.70,-107.54,0.25
51.00,0,0.78,0.00,-3.96,-107.71,0.25
52.00,0,0.85,0.00,-4.22,-107.90,0.25
53.00,0,0.81,0.00,-4.49,-108.09,0.25
54.00,0,0.76,0.00,-4.73,-108.29,0.25
55.00,0,0.85,0.00,-4.97,-108.49,0.25
56.00,0,0.80,0.00,-5.21,-108.71,0.25
57.00,0,0.77,0.00,-5.44,-108.92,0.25
58.00,0,0.81,0.00,-5.65,-109.14,0.25
59.00,0,0.81,0.00,-5.87,-109.38,0.25
60.00,0,0.78,0.00,-6.08,-109.62,0.25
61.00,0,0.77,0.00,-6.27,-109.86,0.25
62.00,0,0.81,0.00,-6.45,-110.10,0.25
63.00,0,0.91,0.00,-6.65,-110.37,0.25
64.00,0,0.84,0.00,-6.85,-110.66,0.25
65.00,0,0.73,0.00,-7.01,-110.92,0.25
66.00,0,0.87,0.00,-7.16,-111.18,0.25
67.00,0,0.84,0.00,-7.32,-111.48,0.25
68.00,0,0.78,0.00,-7.43,-111.70,0.25
69.00,0,0.76,0.00,-7.58,-112.03,0.25
70.00,0,0.89,0.00,-7.71,-112.32,0.25
71.00,0,0.82,0.00,-7.83,-112.64,0.25
72.00,0,0.74,0.00,-7.94,-112.94,0.25
73.00,0,0.69,0.00,-8.02,-113.22,0.25
74.00,0,0.77,0.00,-8.10,-113.47,0.27
75.00,0,0.94,0.00,-8.19,-113.81,0.28
76.00,0,0.95,0.00,-8.28,-114.21,0.28
77.00,0,0.48,0.00,-8.33,-114.48,0.28
78.00,0,0.71,0.00,-8.36,-114.68,0.28
79.00,0,0.99,0.00,-8.41,-115.01,0.28
80.00,0,1.04,0.00,-8.46,-115.45,0.28
81.00,0,0.73,0.00,-8.48,-115.80,0.28
82.00,0,0.76,0.00,-8.49,-116.06,0.28
