Point #0: x=299.3999938964844, y=133.2400360107422, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #1: x=299.3999938964844, y=129.75, z=0.29999998211860657, yaw=179.999755859375
Point #2: x=299.3999938964844, y=59.33003616333008, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #3: x=299.3999938964844, y=55.84000015258789, z=0.29999998211860657, yaw=179.999755859375
Point #4: x=272.2900085449219, y=59.33003616333008, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #5: x=272.2900085449219, y=55.84000015258789, z=0.29999998211860657, yaw=179.999755859375
Point #6: x=234.26998901367188, y=59.33001708984375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #7: x=234.26998901367188, y=55.84001922607422, z=0.29999998211860657, yaw=179.999755859375
Point #8: x=202.5500030517578, y=59.33001708984375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #9: x=202.5500030517578, y=55.84000015258789, z=0.29999998211860657, yaw=179.999755859375
Point #10: x=335.489990234375, y=273.7433166503906, z=0.29999998211860657, yaw=90.00004577636719
Point #11: x=144.0592803955078, y=133.23988342285156, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #12: x=191.0800018310547, y=55.84000015258789, z=0.29999998211860657, yaw=179.999755859375
Point #13: x=153.75999450683594, y=28.899999618530273, z=0.29999998211860657, yaw=90.00004577636719
Point #14: x=144.0592803955078, y=129.74986267089844, z=0.29999998211860657, yaw=179.999755859375
Point #15: x=176.58949279785156, y=133.23915100097656, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #16: x=158.0800018310547, y=27.18000030517578, z=0.29999998211860657, yaw=-90.00029754638672
Point #17: x=295.0817565917969, y=199.060302734375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #18: x=295.0817565917969, y=195.5703125, z=0.29999998211860657, yaw=179.999755859375
Point #19: x=258.2618408203125, y=199.06002807617188, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #20: x=258.2618408203125, y=195.57003784179688, z=0.29999998211860657, yaw=179.999755859375
Point #21: x=92.1099853515625, y=227.22000122070312, z=0.29999998211860657, yaw=-90.00029754638672
Point #22: x=233.5437774658203, y=198.7597198486328, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #23: x=234.71487426757812, y=195.26963806152344, z=0.29999998211860657, yaw=179.999755859375
Point #24: x=181.1729278564453, y=198.75979614257812, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #25: x=181.1729278564453, y=195.26980590820312, z=0.29999998211860657, yaw=179.999755859375
Point #26: x=142.3605499267578, y=198.75999450683594, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #27: x=142.91998291015625, y=195.26998901367188, z=0.29999998211860657, yaw=179.999755859375
Point #28: x=142.91998291015625, y=330.4599914550781, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #29: x=142.91998291015625, y=326.9700012207031, z=0.29999998211860657, yaw=179.999755859375
Point #30: x=120.02603149414062, y=330.4599914550781, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #31: x=119.93997955322266, y=326.9700012207031, z=0.29999998211860657, yaw=179.999755859375
Point #32: x=88.61997985839844, y=226.9056396484375, z=0.29999998211860657, yaw=90.00004577636719
Point #33: x=173.11997985839844, y=330.4599914550781, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #34: x=173.11997985839844, y=326.9700012207031, z=0.29999998211860657, yaw=179.999755859375
Point #35: x=199.94998168945312, y=330.4599914550781, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #36: x=199.94998168945312, y=326.9700012207031, z=0.29999998211860657, yaw=179.999755859375
Point #37: x=232.19998168945312, y=330.4599914550781, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #38: x=232.19998168945312, y=326.9700012207031, z=0.29999998211860657, yaw=179.999755859375
Point #39: x=262.5999755859375, y=330.53997802734375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #40: x=262.5999755859375, y=327.04998779296875, z=0.29999998211860657, yaw=179.999755859375
Point #41: x=301.3399658203125, y=330.53997802734375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #42: x=301.3399658203125, y=327.04998779296875, z=0.29999998211860657, yaw=179.999755859375
Point #43: x=92.10997772216797, y=247.16357421875, z=0.29999998211860657, yaw=-90.00029754638672
Point #44: x=194.4623260498047, y=198.75997924804688, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #45: x=195.00482177734375, y=195.27003479003906, z=0.29999998211860657, yaw=179.999755859375
Point #46: x=364.699951171875, y=330.53997802734375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #47: x=364.53997802734375, y=327.04998779296875, z=0.29999998211860657, yaw=179.999755859375
Point #48: x=229.01377868652344, y=133.24026489257812, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #49: x=228.99429321289062, y=129.75006103515625, z=0.29999998211860657, yaw=179.999755859375
Point #50: x=60.10997772216797, y=330.4599914550781, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #51: x=61.21516036987305, y=326.9700012207031, z=0.29999998211860657, yaw=179.999755859375
Point #52: x=46.14997863769531, y=330.4599914550781, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #53: x=46.14997863769531, y=326.9700012207031, z=0.29999998211860657, yaw=179.999755859375
Point #54: x=88.61997985839844, y=299.9212951660156, z=0.29999998211860657, yaw=90.00004577636719
Point #55: x=22.17997932434082, y=330.4599914550781, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #56: x=22.17997932434082, y=326.9700012207031, z=0.29999998211860657, yaw=179.999755859375
Point #57: x=131.729736328125, y=59.33001708984375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #58: x=161.10308837890625, y=198.759765625, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #59: x=116.22090911865234, y=59.33001708984375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #60: x=118.94999694824219, y=55.84000015258789, z=0.29999998211860657, yaw=179.999755859375
Point #61: x=392.4700012207031, y=118.73902130126953, z=0.29999998211860657, yaw=90.00004577636719
Point #62: x=392.4700012207031, y=229.07254028320312, z=0.29999998211860657, yaw=90.00004577636719
Point #63: x=396.6375732421875, y=318.38226318359375, z=0.29999998211860657, yaw=-89.99993896484375
Point #64: x=396.6376037597656, y=208.82986450195312, z=0.29999998211860657, yaw=-89.99993896484375
Point #65: x=92.10997772216797, y=299.781494140625, z=0.29999998211860657, yaw=-90.00029754638672
Point #66: x=396.6376037597656, y=87.52951049804688, z=0.29999998211860657, yaw=-89.99993896484375
Point #67: x=2.0529332160949707, y=318.38226318359375, z=0.29999998211860657, yaw=-89.99993896484375
Point #68: x=2.0529332160949707, y=208.60116577148438, z=0.29999998211860657, yaw=-89.99993896484375
Point #69: x=2.0529332160949707, y=99.2503662109375, z=0.29999998211860657, yaw=-89.99993896484375
Point #70: x=-1.76282799243927, y=9.559755325317383, z=0.29999998211860657, yaw=90.00005340576172
Point #71: x=-1.7628377676010132, y=119.34102630615234, z=0.29999998211860657, yaw=90.00005340576172
Point #72: x=-1.7628536224365234, y=228.6918487548828, z=0.29999998211860657, yaw=90.00005340576172
Point #73: x=322.7909240722656, y=-2.114088773727417, z=0.29999998211860657, yaw=-179.99993896484375
Point #74: x=322.09625244140625, y=55.15309143066406, z=0.29999998211860657, yaw=-179.99993896484375
Point #75: x=322.09625244140625, y=129.35906982421875, z=0.29999998211860657, yaw=-179.99993896484375
Point #76: x=321.7520446777344, y=194.7324981689453, z=0.29999998211860657, yaw=-179.99993896484375
Point #77: x=321.7520446777344, y=326.2574462890625, z=0.29999998211860657, yaw=-179.99993896484375
Point #78: x=212.64230346679688, y=326.2574462890625, z=0.29999998211860657, yaw=-179.99993896484375
Point #79: x=212.64230346679688, y=194.77291870117188, z=0.29999998211860657, yaw=-179.99993896484375
Point #80: x=211.04229736328125, y=129.3616180419922, z=0.29999998211860657, yaw=-179.99993896484375
Point #81: x=339.0091247558594, y=314.88629150390625, z=0.29999998211860657, yaw=-89.99993896484375
Point #82: x=92.48524475097656, y=314.88629150390625, z=0.29999998211860657, yaw=-89.99993896484375
Point #83: x=105.57198333740234, y=199.44183349609375, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #84: x=210.86700439453125, y=199.44183349609375, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #85: x=210.86700439453125, y=133.64796447753906, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #86: x=121.22996520996094, y=195.00999450683594, z=0.29999998211860657, yaw=179.999755859375
Point #87: x=105.57198333740234, y=133.7781524658203, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #88: x=105.57198333740234, y=330.8506164550781, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #89: x=213.76470947265625, y=330.8506164550781, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #90: x=88.03582000732422, y=210.6703338623047, z=0.29999998211860657, yaw=90.00005340576172
Point #91: x=334.7348327636719, y=210.6703338623047, z=0.29999998211860657, yaw=90.00005340576172
Point #92: x=213.8804473876953, y=59.902679443359375, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #93: x=213.8804473876953, y=2.4971039295196533, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #94: x=170.5475311279297, y=59.902679443359375, z=0.29999998211860657, yaw=6.103515261202119e-05
Point #95: x=212.7645721435547, y=55.239990234375, z=0.29999998211860657, yaw=-179.99993896484375
Point #96: x=-1.5362070798873901, y=33.658203125, z=0.5342468023300171, yaw=89.9996109008789
Point #97: x=-1.980019450187683, y=249.42999267578125, z=0.29999998211860657, yaw=90.00004577636719
Point #98: x=212.7645721435547, y=-2.286572217941284, z=0.29999998211860657, yaw=-179.99993896484375
