Point #0: x=-7.529999732971191, y=142.19000244140625, z=0.5, yaw=89.99995422363281
Point #1: x=-7.529999732971191, y=270.72998046875, z=0.5, yaw=89.99995422363281
Point #2: x=-3.6800057888031006, y=234.11000061035156, z=0.5, yaw=-89.99981689453125
Point #3: x=-7.530004024505615, y=234.11000061035156, z=0.5, yaw=89.99995422363281
Point #4: x=-3.679999828338623, y=121.20999908447266, z=0.5, yaw=-89.99981689453125
Point #5: x=-7.529999732971191, y=121.20999908447266, z=0.5, yaw=89.99995422363281
Point #6: x=193.77999877929688, y=266.42999267578125, z=0.5, yaw=-89.99981689453125
Point #7: x=189.92999267578125, y=252.3300018310547, z=0.5, yaw=89.99995422363281
Point #8: x=193.77999877929688, y=293.5400085449219, z=0.5, yaw=-89.99981689453125
Point #9: x=189.92999267578125, y=293.5400085449219, z=0.5, yaw=89.99995422363281
Point #10: x=193.77999877929688, y=218.7899932861328, z=0.5, yaw=-89.99981689453125
Point #11: x=189.92999267578125, y=208.11000061035156, z=0.5, yaw=89.99995422363281
Point #12: x=193.77999877929688, y=171.2899932861328, z=0.5, yaw=-89.99981689453125
Point #13: x=-7.529999732971191, y=251.36000061035156, z=0.5, yaw=89.99995422363281
Point #14: x=189.92999267578125, y=160.5800018310547, z=0.5, yaw=89.99995422363281
Point #15: x=193.77999877929688, y=142.19000244140625, z=0.5, yaw=-89.99981689453125
Point #16: x=189.92999267578125, y=142.19000244140625, z=0.5, yaw=89.99995422363281
Point #17: x=193.77999877929688, y=121.20999908447266, z=0.5, yaw=-89.99981689453125
Point #18: x=189.92999267578125, y=121.20999908447266, z=0.5, yaw=89.99995422363281
Point #19: x=131.69003295898438, y=105.54996490478516, z=0.5, yaw=-179.9996337890625
Point #20: x=131.6900177001953, y=109.40003967285156, z=0.5, yaw=-0.00018310546875
Point #21: x=173.87005615234375, y=105.55001068115234, z=0.5, yaw=-179.9996337890625
Point #22: x=173.87005615234375, y=109.40003967285156, z=0.5, yaw=-0.00018310546875
Point #23: x=84.41004943847656, y=105.55001068115234, z=0.5, yaw=-179.9996337890625
Point #24: x=-3.679999828338623, y=288.2200012207031, z=0.5, yaw=-89.99981689453125
Point #25: x=84.41001892089844, y=109.29999542236328, z=0.5, yaw=-0.00018310546875
Point #26: x=55.410037994384766, y=105.54998779296875, z=0.5, yaw=-179.9996337890625
Point #27: x=55.41002655029297, y=109.39998626708984, z=0.5, yaw=-0.00018310546875
Point #28: x=25.530019760131836, y=105.54998779296875, z=0.5, yaw=-179.9996337890625
Point #29: x=21.420019149780273, y=109.39999389648438, z=0.5, yaw=-0.00018310546875
Point #30: x=1.5400243997573853, y=105.54998779296875, z=0.5, yaw=-179.9996337890625
Point #31: x=1.5399999618530273, y=109.39999389648438, z=0.5, yaw=-0.00018310546875
Point #32: x=136.1100311279297, y=302.5699462890625, z=0.5, yaw=-179.9996337890625
Point #33: x=136.11001586914062, y=306.4200439453125, z=0.5, yaw=-0.00018310546875
Point #34: x=178.29005432128906, y=302.57000732421875, z=0.5, yaw=-179.9996337890625
Point #35: x=-7.529999732971191, y=288.2200012207031, z=0.5, yaw=89.99995422363281
Point #36: x=178.29005432128906, y=306.4200439453125, z=0.5, yaw=-0.00018310546875
Point #37: x=88.83004760742188, y=302.57000732421875, z=0.5, yaw=-179.9996337890625
Point #38: x=88.83001708984375, y=306.41998291015625, z=0.5, yaw=-0.00018310546875
Point #39: x=71.53003692626953, y=302.57000732421875, z=0.5, yaw=-179.9996337890625
Point #40: x=59.60002899169922, y=306.41998291015625, z=0.5, yaw=-0.00018310546875
Point #41: x=26.940019607543945, y=302.57000732421875, z=0.5, yaw=-179.9996337890625
Point #42: x=14.010019302368164, y=306.41998291015625, z=0.5, yaw=-0.00018310546875
Point #43: x=9.530024528503418, y=302.57000732421875, z=0.5, yaw=-179.9996337890625
Point #44: x=118.77003479003906, y=237.42996215820312, z=0.5, yaw=-179.9996337890625
Point #45: x=-3.679999828338623, y=219.4099884033203, z=0.5, yaw=-89.99981689453125
Point #46: x=104.30001831054688, y=241.280029296875, z=0.5, yaw=-0.00018310546875
Point #47: x=174.33004760742188, y=237.42999267578125, z=0.5, yaw=-179.9996337890625
Point #48: x=162.7600555419922, y=241.280029296875, z=0.5, yaw=-0.00018310546875
Point #49: x=88.71004486083984, y=237.42999267578125, z=0.5, yaw=-179.9996337890625
Point #50: x=88.71001434326172, y=241.27999877929688, z=0.5, yaw=-0.00018310546875
Point #51: x=71.0400390625, y=237.42999267578125, z=0.5, yaw=-179.9996337890625
Point #52: x=59.71002960205078, y=241.27999877929688, z=0.5, yaw=-0.00018310546875
Point #53: x=162.92002868652344, y=237.42996215820312, z=0.5, yaw=-179.9996337890625
Point #54: x=151.30001831054688, y=241.280029296875, z=0.5, yaw=-0.00018310546875
Point #55: x=117.93003845214844, y=187.91995239257812, z=0.5, yaw=-179.9996337890625
Point #56: x=-7.529999732971191, y=208.9199981689453, z=0.5, yaw=89.99995422363281
Point #57: x=104.59001922607422, y=191.77003479003906, z=0.5, yaw=-0.00018310546875
Point #58: x=181.800048828125, y=187.9199981689453, z=0.5, yaw=-179.9996337890625
Point #59: x=166.9145050048828, y=191.77003479003906, z=0.5, yaw=-0.00018310546875
Point #60: x=92.34004974365234, y=187.9199981689453, z=0.5, yaw=-179.9996337890625
Point #61: x=92.34001922607422, y=191.76998901367188, z=0.5, yaw=-0.00018310546875
Point #62: x=75.43003845214844, y=187.9199981689453, z=0.5, yaw=-179.9996337890625
Point #63: x=63.34002685546875, y=191.76998901367188, z=0.5, yaw=-0.00018310546875
Point #64: x=27.72001838684082, y=187.9199981689453, z=0.5, yaw=-179.9996337890625
Point #65: x=18.250019073486328, y=191.76998901367188, z=0.5, yaw=-0.00018310546875
Point #66: x=16.233661651611328, y=187.9199981689453, z=0.5, yaw=-179.9996337890625
Point #67: x=-3.679999828338623, y=172.42999267578125, z=0.5, yaw=-89.99981689453125
Point #68: x=9.469999313354492, y=191.76998901367188, z=0.5, yaw=-0.00018310546875
Point #69: x=165.0900421142578, y=187.1199493408203, z=0.5, yaw=-179.9996337890625
Point #70: x=150.24002075195312, y=191.77003479003906, z=0.5, yaw=-0.00018310546875
Point #71: x=45.59000015258789, y=271.5099792480469, z=0.5, yaw=-89.99981689453125
Point #72: x=41.38999938964844, y=257.4599914550781, z=0.5, yaw=89.99995422363281
Point #73: x=45.23999786376953, y=291.2900085449219, z=0.5, yaw=-89.99981689453125
Point #74: x=41.38999938964844, y=275.0299987792969, z=0.5, yaw=89.99995422363281
Point #75: x=45.88999938964844, y=216.25999450683594, z=0.5, yaw=-89.99981689453125
Point #76: x=41.38999938964844, y=203.89999389648438, z=0.5, yaw=89.99995422363281
Point #77: x=45.23999786376953, y=225.58999633789062, z=0.5, yaw=-89.99981689453125
Point #78: x=-7.529999732971191, y=158.97999572753906, z=0.5, yaw=89.99995422363281
Point #79: x=41.38999938964844, y=212.97999572753906, z=0.5, yaw=89.99995422363281
Point #80: x=135.87998962402344, y=215.26998901367188, z=0.5, yaw=-89.99981689453125
Point #81: x=132.02999877929688, y=201.1699981689453, z=0.5, yaw=89.99995422363281
Point #82: x=135.87998962402344, y=226.04998779296875, z=0.5, yaw=-89.99981689453125
Point #83: x=132.02999877929688, y=211.0, z=0.5, yaw=89.99995422363281
Point #84: x=75.4300308227539, y=191.76998901367188, z=0.5, yaw=-0.00018310546875
Point #85: x=104.60004425048828, y=187.9199981689453, z=0.5, yaw=-179.9996337890625
Point #86: x=-3.6799514293670654, y=158.97999572753906, z=0.5, yaw=-89.99981689453125
Point #87: x=37.47003936767578, y=105.5500259399414, z=0.5, yaw=-179.9996337890625
Point #88: x=193.77999877929688, y=160.5800018310547, z=0.5, yaw=-89.99981689453125
Point #89: x=-3.679999828338623, y=142.19000244140625, z=0.5, yaw=-89.99981689453125
Point #90: x=104.30003356933594, y=237.42996215820312, z=0.5, yaw=-179.9996337890625
Point #91: x=70.8800277709961, y=241.27999877929688, z=0.5, yaw=-0.00018310546875
Point #92: x=71.530029296875, y=306.41998291015625, z=0.5, yaw=-0.00018310546875
Point #93: x=111.08004760742188, y=302.57000732421875, z=0.5, yaw=-179.9996337890625
Point #94: x=111.08001708984375, y=306.41998291015625, z=0.5, yaw=-0.00018310546875
Point #95: x=189.92999267578125, y=266.42999267578125, z=0.5, yaw=89.99995422363281
Point #96: x=151.402587890625, y=105.55001068115234, z=0.5, yaw=-179.9996337890625
Point #97: x=151.75006103515625, y=109.40003967285156, z=0.5, yaw=-0.00018310546875
Point #98: x=-7.529999732971191, y=219.4099884033203, z=0.5, yaw=89.99995422363281
Point #99: x=-3.6800014972686768, y=270.72998046875, z=0.5, yaw=-89.99981689453125
Point #100: x=-3.679999828338623, y=251.36000061035156, z=0.5, yaw=-89.99981689453125
