Point #0: x=-6.446169853210449, y=-79.05502319335938, z=0.27530714869499207, yaw=92.00418853759766
Point #1: x=65.51659393310547, y=7.808422565460205, z=0.27530714869499207, yaw=0.8558230400085449
Point #2: x=76.46886444091797, y=4.308813095092773, z=0.27530714869499207, yaw=0.8558230400085449
Point #3: x=-2.41935658454895, y=204.00567626953125, z=0.27530714869499207, yaw=-0.142974853515625
Point #4: x=5.989376068115234, y=207.50567626953125, z=0.27530714869499207, yaw=-0.142974853515625
Point #5: x=-20.033100128173828, y=204.00567626953125, z=0.27530714869499207, yaw=-0.142974853515625
Point #6: x=-11.42436695098877, y=207.50567626953125, z=0.27530714869499207, yaw=-0.142974853515625
Point #7: x=-1.848311424255371, y=-87.23261260986328, z=0.27530714869499207, yaw=92.00418853759766
Point #8: x=-55.04970169067383, y=0.5458329319953918, z=0.27530714869499207, yaw=1.6669410467147827
Point #9: x=-117.49345397949219, y=-3.2214934825897217, z=0.27530714869499207, yaw=-179.7053985595703
Point #10: x=-77.88716888427734, y=23.34420394897461, z=0.3499999940395355, yaw=-90.15623474121094
Point #11: x=-74.38717651367188, y=25.734657287597656, z=0.3499999940395355, yaw=-90.15623474121094
Point #12: x=-77.88716888427734, y=33.20692825317383, z=0.6488781571388245, yaw=-90.15623474121094
Point #13: x=-74.38717651367188, y=41.99738311767578, z=0.9488781690597534, yaw=-90.15623474121094
Point #14: x=-77.88716888427734, y=52.04116439819336, z=1.0072969198226929, yaw=-90.15623474121094
Point #15: x=-74.38717651367188, y=59.43162155151367, z=1.2072968482971191, yaw=-90.15623474121094
Point #16: x=-77.68716430664062, y=68.35857391357422, z=1.3020741939544678, yaw=-90.15623474121094
Point #17: x=149.592041015625, y=5.371150493621826, z=0.27530714869499207, yaw=0.8558040261268616
Point #18: x=140.53977966308594, y=8.870759963989258, z=0.27530714869499207, yaw=0.8558040261268616
Point #19: x=129.12794494628906, y=5.371150493621826, z=0.27530714869499207, yaw=0.8558040261268616
Point #20: x=120.07566833496094, y=8.870759963989258, z=0.27530714869499207, yaw=0.8558040261268616
Point #21: x=201.24911499023438, y=6.3087615966796875, z=0.27530714869499207, yaw=0.8558040261268616
Point #22: x=192.39683532714844, y=9.808370590209961, z=0.27530714869499207, yaw=0.8558040261268616
Point #23: x=183.28529357910156, y=6.3087615966796875, z=0.27530714869499207, yaw=0.8558040261268616
Point #24: x=174.43299865722656, y=9.808370590209961, z=0.27530714869499207, yaw=0.8558040261268616
Point #25: x=-74.38717651367188, y=77.34902954101562, z=1.1020742654800415, yaw=-90.15623474121094
Point #26: x=-77.88716888427734, y=87.72563934326172, z=1.0, yaw=-90.15623474121094
Point #27: x=-74.38717651367188, y=99.71611022949219, z=0.699999988079071, yaw=-90.15623474121094
Point #28: x=-88.25486755371094, y=106.20687866210938, z=0.7204756140708923, yaw=89.78770446777344
Point #29: x=-84.65489196777344, y=114.3951644897461, z=0.5204756259918213, yaw=89.78767395019531
Point #30: x=-88.16754913330078, y=36.74227523803711, z=0.5812947154045105, yaw=89.78770446777344
Point #31: x=-84.76719665527344, y=51.93092727661133, z=1.0812946557998657, yaw=89.78767395019531
Point #32: x=-95.44482421875, y=136.11587524414062, z=0.27530714869499207, yaw=-0.597991943359375
Point #33: x=-108.41058349609375, y=136.3158721923828, z=0.27530714869499207, yaw=-0.597991943359375
Point #34: x=-121.301513671875, y=136.41587829589844, z=0.27530714869499207, yaw=-0.597991943359375
Point #35: x=-56.30329895019531, y=131.56495666503906, z=0.6753071546554565, yaw=176.6312713623047
Point #36: x=-43.27096939086914, y=131.1649627685547, z=0.27530714869499207, yaw=176.6312713623047
Point #37: x=-5.924473762512207, y=102.77865600585938, z=0.27530714869499207, yaw=89.63746643066406
Point #38: x=-9.42440414428711, y=112.99644470214844, z=0.27530714869499207, yaw=89.63746643066406
Point #39: x=-5.941557884216309, y=82.5765151977539, z=0.27530714869499207, yaw=89.63746643066406
Point #40: x=-9.441488265991211, y=91.99429321289062, z=0.27530714869499207, yaw=89.63746643066406
Point #41: x=-6.448509216308594, y=61.04201889038086, z=0.27530714869499207, yaw=89.63746643066406
Point #42: x=-9.948439598083496, y=70.05980682373047, z=0.27530714869499207, yaw=89.63746643066406
Point #43: x=239.20333862304688, y=115.79348754882812, z=0.9528071284294128, yaw=-88.60533905029297
Point #44: x=-149.06358337402344, y=91.1715087890625, z=0.27530714869499207, yaw=89.62203216552734
Point #45: x=242.7023162841797, y=129.078125, z=1.3528071641921997, yaw=-88.60674285888672
Point #46: x=9.184539794921875, y=-101.7431640625, z=0.27530714869499207, yaw=-88.58641815185547
Point #47: x=5.778288841247559, y=-113.2294921875, z=0.27530714869499207, yaw=-88.8760986328125
Point #48: x=-24.304346084594727, y=-135.2921600341797, z=0.5753071308135986, yaw=1.2272652387619019
Point #49: x=-36.63099670410156, y=-194.92361450195312, z=0.27530714869499207, yaw=1.439546823501587
Point #50: x=-28.24283790588379, y=-198.42250061035156, z=0.27530714869499207, yaw=1.4395438432693481
Point #51: x=128.56423950195312, y=-190.39999389648438, z=0.27530714869499207, yaw=0.0
Point #52: x=117.0642318725586, y=-194.39999389648438, z=0.27530714869499207, yaw=0.0
Point #53: x=150.91949462890625, y=-162.6256103515625, z=4.518007278442383, yaw=90.9964828491211
Point #54: x=149.95828247070312, y=-102.33649444580078, z=8.305596351623535, yaw=90.9964828491211
Point #55: x=-148.98947143554688, y=-36.040218353271484, z=0.4235570430755615, yaw=90.02982330322266
Point #56: x=-78.1241683959961, y=-81.23867797851562, z=0.27530714869499207, yaw=-90.15623474121094
Point #57: x=-74.62417602539062, y=-95.04823303222656, z=0.27530714869499207, yaw=-90.15623474121094
