Point #0: x=225.2520294189453, y=-364.109375, z=0.2819424271583557, yaw=-0.2953185439109802
Point #1: x=222.63400268554688, y=-367.6285705566406, z=0.2819424271583557, yaw=-0.2953185439109802
Point #2: x=223.025146484375, y=-385.14300537109375, z=0.2819424271583557, yaw=-179.57008361816406
Point #3: x=220.45140075683594, y=-388.6622314453125, z=0.2819424271583557, yaw=-179.57008361816406
Point #4: x=223.07766723632812, y=-392.1427917480469, z=0.2819424271583557, yaw=-179.57008361816406
Point #5: x=220.50392150878906, y=-395.6619873046875, z=0.2819424271583557, yaw=-179.57008361816406
Point #6: x=262.9135437011719, y=-384.8436279296875, z=0.2819424271583557, yaw=-179.57008361816406
Point #7: x=260.33978271484375, y=-388.36285400390625, z=0.2819424271583557, yaw=-179.57008361816406
Point #8: x=262.9660339355469, y=-391.8434143066406, z=0.2819424271583557, yaw=-179.57008361816406
Point #9: x=260.3923034667969, y=-395.36260986328125, z=0.2819424271583557, yaw=-179.57008361816406
Point #10: x=181.2168731689453, y=-367.9564514160156, z=0.2819424271583557, yaw=0.4299219846725464
Point #11: x=185.94297790527344, y=-371.4153137207031, z=0.2819424271583557, yaw=0.4299219846725464
Point #12: x=181.26939392089844, y=-374.95623779296875, z=0.2819424271583557, yaw=0.4299219846725464
Point #13: x=225.21595764160156, y=-371.1092834472656, z=0.2819424271583557, yaw=-0.2953185439109802
Point #14: x=222.597900390625, y=-374.6285095214844, z=0.2819424271583557, yaw=-0.2953185439109802
Point #15: x=385.6819763183594, y=-187.66671752929688, z=0.2819424271583557, yaw=90.59857940673828
Point #16: x=389.15771484375, y=-185.3302459716797, z=0.2819424271583557, yaw=90.59857940673828
Point #17: x=392.68157958984375, y=-187.59361267089844, z=0.2819424271583557, yaw=90.59857940673828
Point #18: x=386.0985107421875, y=-228.16067504882812, z=0.2819424271583557, yaw=90.59857940673828
Point #19: x=389.5632629394531, y=-224.72430419921875, z=0.2819424271583557, yaw=90.59857940673828
Point #20: x=393.0981140136719, y=-228.0875701904297, z=0.2819424271583557, yaw=90.59857940673828
Point #21: x=382.5636291503906, y=-224.79722595214844, z=0.2819424271583557, yaw=90.59270477294922
Point #22: x=381.3318786621094, y=-115.40447235107422, z=0.2819424271583557, yaw=90.43304443359375
Point #23: x=384.7312316894531, y=-102.08518981933594, z=0.2819424271583557, yaw=90.43909454345703
Point #24: x=388.2069091796875, y=-98.9583740234375, z=0.2819424271583557, yaw=90.43909454345703
Point #25: x=391.73101806640625, y=-102.03153991699219, z=0.2819424271583557, yaw=90.43909454345703
Point #26: x=381.48175048828125, y=-134.7979736328125, z=0.2819424271583557, yaw=90.43304443359375
Point #27: x=384.96380615234375, y=-132.47137451171875, z=0.2819424271583557, yaw=90.43909454345703
Point #28: x=388.48150634765625, y=-134.74452209472656, z=0.2819424271583557, yaw=90.43909454345703
Point #29: x=391.9635925292969, y=-132.417724609375, z=0.2819424271583557, yaw=90.43909454345703
Point #30: x=384.63922119140625, y=-90.0726089477539, z=0.2819424271583557, yaw=90.43909454345703
Point #31: x=388.1148681640625, y=-86.94578552246094, z=0.2819424271583557, yaw=90.43909454345703
Point #32: x=391.63897705078125, y=-90.01895904541016, z=0.2819424271583557, yaw=90.43909454345703
Point #33: x=401.83453369140625, y=-50.27750778198242, z=0.2819424271583557, yaw=-89.5609130859375
Point #34: x=405.32037353515625, y=-48.45077896118164, z=0.2819424271583557, yaw=-89.5609130859375
Point #35: x=408.83428955078125, y=-50.2238655090332, z=0.2819424271583557, yaw=-89.5609130859375
Point #36: x=412.3201599121094, y=-48.39712905883789, z=0.2819424271583557, yaw=-89.5609130859375
Point #37: x=401.6971435546875, y=-32.35908126831055, z=0.2819424271583557, yaw=-89.5609130859375
Point #38: x=405.2165832519531, y=-34.83220291137695, z=0.2819424271583557, yaw=-89.5609130859375
Point #39: x=408.6968994140625, y=-32.30543899536133, z=0.2819424271583557, yaw=-89.5609130859375
Point #40: x=412.21636962890625, y=-34.7785530090332, z=0.2819424271583557, yaw=-89.5609130859375
Point #41: x=402.7845153808594, y=-149.54217529296875, z=0.2819424271583557, yaw=-89.40142059326172
Point #42: x=406.2581481933594, y=-147.00579833984375, z=0.2819424271583557, yaw=-89.40142059326172
Point #43: x=409.78411865234375, y=-149.46905517578125, z=0.2819424271583557, yaw=-89.40142059326172
Point #44: x=413.2578125, y=-146.93267822265625, z=0.2819424271583557, yaw=-89.40142059326172
Point #45: x=402.52545166015625, y=-124.7379379272461, z=0.2819424271583557, yaw=-89.40142059326172
Point #46: x=406.0031433105469, y=-122.60157012939453, z=0.2819424271583557, yaw=-89.40142059326172
Point #47: x=409.5250549316406, y=-124.66481018066406, z=0.2819424271583557, yaw=-89.40142059326172
Point #48: x=413.0028076171875, y=-122.5284423828125, z=0.2819424271583557, yaw=-89.40142059326172
Point #49: x=402.2416076660156, y=-97.5579833984375, z=0.2819424271583557, yaw=-89.40142059326172
Point #50: x=405.71929931640625, y=-95.42161560058594, z=0.2819424271583557, yaw=-89.40142059326172
Point #51: x=409.2412109375, y=-97.48486328125, z=0.2819424271583557, yaw=-89.40142059326172
Point #52: x=412.71893310546875, y=-95.34849548339844, z=0.2819424271583557, yaw=-89.40142059326172
Point #53: x=83.72017669677734, y=16.922794342041016, z=11.402957916259766, yaw=-179.76736450195312
Point #54: x=86.73367309570312, y=13.435014724731445, z=11.192305564880371, yaw=-179.76736450195312
Point #55: x=83.74858856201172, y=9.922868728637695, z=11.402957916259766, yaw=-179.76736450195312
Point #56: x=86.7620849609375, y=6.435072422027588, z=11.192305564880371, yaw=-179.76736450195312
Point #57: x=-85.33257293701172, y=16.332626342773438, z=9.934486389160156, yaw=-179.92318725585938
Point #58: x=-81.9185562133789, y=12.83720588684082, z=10.00311279296875, yaw=-179.92318725585938
Point #59: x=-85.31317901611328, y=9.332647323608398, z=9.934486389160156, yaw=-179.92318725585938
Point #60: x=-81.9091567993164, y=5.837208271026611, z=10.00311279296875, yaw=-179.92318725585938
Point #61: x=384.87420654296875, y=-120.77178192138672, z=0.2819424271583557, yaw=90.43909454345703
Point #62: x=388.3562927246094, y=-118.44500732421875, z=0.2819424271583557, yaw=90.43909454345703
Point #63: x=391.87396240234375, y=-120.71813201904297, z=0.2819424271583557, yaw=90.43909454345703
Point #64: x=385.8992004394531, y=-208.86181640625, z=0.2819424271583557, yaw=90.59857940673828
Point #65: x=389.3639831542969, y=-205.42544555664062, z=0.2819424271583557, yaw=90.59857940673828
Point #66: x=392.8988342285156, y=-208.78871154785156, z=0.2819424271583557, yaw=90.59857940673828
Point #67: x=382.36431884765625, y=-205.49835205078125, z=0.2819424271583557, yaw=90.59270477294922
Point #68: x=181.99508666992188, y=-385.45172119140625, z=0.2819424271583557, yaw=-179.49859619140625
Point #69: x=179.72572326660156, y=-388.9686584472656, z=0.2819424271583557, yaw=-179.49859619140625
Point #70: x=182.0563201904297, y=-392.45147705078125, z=0.2819424271583557, yaw=-179.49859619140625
Point #71: x=179.78697204589844, y=-395.9683837890625, z=0.2819424271583557, yaw=-179.49859619140625
Point #72: x=11.31026554107666, y=-160.08792114257812, z=0.2819424271583557, yaw=-90.224853515625
Point #73: x=7.8216705322265625, y=-157.17417907714844, z=0.2819424271583557, yaw=-90.224853515625
Point #74: x=4.3103156089782715, y=-160.06044006347656, z=0.2819424271583557, yaw=-90.224853515625
Point #75: x=-6.299371719360352, y=-187.98855590820312, z=0.2819424271583557, yaw=89.7751235961914
Point #76: x=-9.789925575256348, y=-185.57481384277344, z=0.2819424271583557, yaw=89.7751235961914
Point #77: x=-13.299323081970215, y=-187.96107482910156, z=0.2819424271583557, yaw=89.7751235961914
Point #78: x=-16.789888381958008, y=-185.54733276367188, z=0.2819424271583557, yaw=89.7751235961914
Point #79: x=-6.395920276641846, y=-212.58840942382812, z=0.2819424271583557, yaw=89.7751235961914
Point #80: x=-9.890790939331055, y=-211.27468872070312, z=0.2819424271583557, yaw=89.7751235961914
Point #81: x=-13.395880699157715, y=-212.56092834472656, z=0.2819424271583557, yaw=89.7751235961914
