Point #0: x=-44.18832778930664, y=-39.61061096191406, z=0.44999998807907104, yaw=-90.33749389648438
Point #1: x=-54.71146774291992, y=-41.65013885498047, z=0.44999998807907104, yaw=89.66251373291016
Point #2: x=-51.19915771484375, y=-39.5707893371582, z=0.44999998807907104, yaw=89.66251373291016
Point #3: x=-177.54983520507812, y=2.981492042541504, z=0.29999998211860657, yaw=-0.13946533203125
Point #4: x=-175.9413299560547, y=6.477585315704346, z=0.29999998211860657, yaw=-0.13946533203125
Point #5: x=-203.4488983154297, y=-3.9554872512817383, z=0.29999998211860657, yaw=179.86048889160156
Point #6: x=-201.9403839111328, y=-0.45915037393569946, z=0.29999998211860657, yaw=179.86048889160156
Point #7: x=-191.567138671875, y=14.351324081420898, z=0.5999999642372131, yaw=89.98419189453125
Point #8: x=-184.57481384277344, y=-13.59150218963623, z=0.5999999642372131, yaw=-90.01580810546875
Point #9: x=-195.06675720214844, y=15.851250648498535, z=0.5999999642372131, yaw=89.98419189453125
Point #10: x=-164.73216247558594, y=-95.14187622070312, z=0.29999998211860657, yaw=-179.9136962890625
Point #11: x=-188.0742950439453, y=-11.590188026428223, z=0.5999999642372131, yaw=-90.01580810546875
Point #12: x=-112.30240631103516, y=2.822676658630371, z=0.29999998211860657, yaw=-0.13946533203125
Point #13: x=-110.89389038085938, y=6.31925630569458, z=0.29999998211860657, yaw=-0.13946533203125
Point #14: x=-141.8823699951172, y=-4.105342864990234, z=0.29999998211860657, yaw=179.86048889160156
Point #15: x=-140.3738555908203, y=-0.6090064644813538, z=0.29999998211860657, yaw=179.86048889160156
Point #16: x=-128.10850524902344, y=13.788225173950195, z=0.29999998211860657, yaw=89.1748046875
Point #17: x=-121.55548858642578, y=-11.948098182678223, z=0.29999998211860657, yaw=-90.42443084716797
Point #18: x=-131.58509826660156, y=15.43846607208252, z=0.29999998211860657, yaw=89.1748046875
Point #19: x=-125.06578063964844, y=-13.32213306427002, z=0.29999998211860657, yaw=-90.42443084716797
Point #20: x=35.057193756103516, y=137.3352813720703, z=0.29999998211860657, yaw=-89.97711181640625
Point #21: x=-162.53744506835938, y=-91.63861846923828, z=0.29999998211860657, yaw=-179.9136962890625
Point #22: x=31.556598663330078, y=138.83389282226562, z=0.29999998211860657, yaw=-89.97711181640625
Point #23: x=-124.04674530029297, y=75.87236022949219, z=0.29999998211860657, yaw=-90.51138305664062
Point #24: x=-62.8784065246582, y=-94.988525390625, z=0.29999998211860657, yaw=-179.9136962890625
Point #25: x=-48.163211822509766, y=-102.92279052734375, z=0.44999998807907104, yaw=-94.3148193359375
Point #26: x=-120.55846405029297, y=74.54118347167969, z=0.29999998211860657, yaw=-90.51138305664062
Point #27: x=-36.3984375, y=-87.94866180419922, z=0.29999998211860657, yaw=0.08630598336458206
Point #28: x=-44.75590133666992, y=-104.28300476074219, z=0.44999998807907104, yaw=-94.3148193359375
Point #29: x=40.17259979248047, y=144.89817810058594, z=0.29999998211860657, yaw=2.228426456451416
Point #30: x=-54.91007995605469, y=-77.22367858886719, z=0.44999998807907104, yaw=89.66251373291016
Point #31: x=-51.40483093261719, y=-76.34429931640625, z=0.44999998807907104, yaw=89.66251373291016
Point #32: x=210.73939514160156, y=-11.27216625213623, z=0.29999998211860657, yaw=-90.66905975341797
Point #33: x=-127.28663635253906, y=105.03080749511719, z=0.29999998211860657, yaw=89.48860168457031
Point #34: x=-64.68408966064453, y=-91.49115753173828, z=0.29999998211860657, yaw=-179.9136962890625
Point #35: x=-37.70370864868164, y=-84.45059204101562, z=0.29999998211860657, yaw=0.08630598336458206
Point #36: x=22.26304817199707, y=187.67640686035156, z=0.29999998211860657, yaw=-179.71951293945312
Point #37: x=-95.24085998535156, y=-88.03746795654297, z=0.29999998211860657, yaw=0.08630598336458206
Point #38: x=22.22688865661621, y=194.67630004882812, z=0.29999998211860657, yaw=-179.712158203125
Point #39: x=20.7445011138916, y=191.16876220703125, z=0.29999998211860657, yaw=-179.712158203125
Point #40: x=-127.74740600585938, y=53.41465377807617, z=0.29999998211860657, yaw=89.48860168457031
Point #41: x=-96.74613189697266, y=-84.53971862792969, z=0.29999998211860657, yaw=0.08630598336458206
Point #42: x=35.056522369384766, y=163.65663146972656, z=0.29999998211860657, yaw=-89.97711181640625
Point #43: x=207.27093505859375, y=-13.931108474731445, z=0.29999998211860657, yaw=-90.66905975341797
Point #44: x=31.557193756103516, y=161.9552459716797, z=0.29999998211860657, yaw=-89.97711181640625
Point #45: x=-127.15106964111328, y=120.22196960449219, z=0.29999998211860657, yaw=89.48860168457031
Point #46: x=37.33776092529297, y=201.75230407714844, z=0.29999998211860657, yaw=0.289840966463089
Point #47: x=-47.80707931518555, y=-59.7596435546875, z=0.44999998807907104, yaw=-90.33749389648438
Point #48: x=-109.6865005493164, y=94.94119262695312, z=0.29999998211860657, yaw=0.06556998938322067
Point #49: x=-108.28250122070312, y=91.44278717041016, z=0.29999998211860657, yaw=0.06556998938322067
Point #50: x=19.206674575805664, y=-91.3648681640625, z=0.29999998211860657, yaw=-179.9136962890625
Point #51: x=25.95317840576172, y=-75.56890869140625, z=0.29999998211860657, yaw=91.5320816040039
Point #52: x=18.011945724487305, y=-94.86663818359375, z=0.29999998211860657, yaw=-179.9136962890625
Point #53: x=-44.30006408691406, y=-58.58027267456055, z=0.44999998807907104, yaw=-90.33749389648438
Point #54: x=203.73985290527344, y=-11.190423011779785, z=0.29999998211860657, yaw=-90.66905975341797
Point #55: x=44.77585220336914, y=-84.12782287597656, z=0.5, yaw=-1.4442747831344604
Point #56: x=43.388065338134766, y=-87.59395599365234, z=0.29999998211860657, yaw=-1.4442747831344604
Point #57: x=29.486671447753906, y=-76.7745361328125, z=0.29999998211860657, yaw=91.5320816040039
Point #58: x=-54.80696105957031, y=-59.719818115234375, z=0.44999998807907104, yaw=89.66251373291016
Point #59: x=16.355600357055664, y=-0.9904930591583252, z=0.29999998211860657, yaw=179.86048889160156
Point #60: x=24.597328186035156, y=14.145381927490234, z=0.29999998211860657, yaw=89.4882583618164
Point #61: x=31.39936637878418, y=-12.338720321655273, z=0.29999998211860657, yaw=-89.8009262084961
Point #62: x=17.84708023071289, y=-4.494134426116943, z=0.29999998211860657, yaw=179.86048889160156
Point #63: x=41.056663513183594, y=1.7426775693893433, z=0.29999998211860657, yaw=0.25028496980667114
Point #64: x=41.94137191772461, y=5.246575355529785, z=0.29999998211860657, yaw=0.25028496980667114
Point #65: x=197.04034423828125, y=13.699100494384766, z=0.29999998211860657, yaw=90.66463470458984
Point #66: x=28.082000732421875, y=12.414189338684082, z=0.29999998211860657, yaw=89.4882583618164
Point #67: x=34.9073371887207, y=-14.626544952392578, z=0.29999998211860657, yaw=-89.8009262084961
Point #68: x=-133.15872192382812, y=-142.3721160888672, z=0.5999999642372131, yaw=-179.55746459960938
Point #69: x=-135.93162536621094, y=-145.89361572265625, z=0.5999999642372131, yaw=-179.55746459960938
Point #70: x=-114.00806427001953, y=-135.22396850585938, z=0.5999999642372131, yaw=0.44256192445755005
Point #71: x=-115.98096466064453, y=-138.73928833007812, z=0.5999999642372131, yaw=0.44256192445755005
Point #72: x=-131.324462890625, y=-125.7497329711914, z=0.29999998211860657, yaw=90.39354705810547
Point #73: x=-127.81288146972656, y=-127.42567443847656, z=0.29999998211860657, yaw=90.39354705810547
Point #74: x=-51.299949645996094, y=-58.54044723510742, z=0.44999998807907104, yaw=89.66251373291016
Point #75: x=-217.58859252929688, y=6.672847747802734, z=0.29999998211860657, yaw=-0.13946533203125
Point #76: x=193.57186889648438, y=10.958688735961914, z=0.29999998211860657, yaw=90.66463470458984
Point #77: x=-184.579833984375, y=-31.77149772644043, z=0.5999999642372131, yaw=-90.01580810546875
Point #78: x=-188.07923889160156, y=-29.37018394470215, z=0.5999999642372131, yaw=-90.01580810546875
Point #79: x=-191.5797882080078, y=-31.79867172241211, z=0.5999999642372131, yaw=89.98419189453125
Point #80: x=-219.99710083007812, y=3.1787033081054688, z=0.29999998211860657, yaw=-0.13946533203125
Point #81: x=42.366355895996094, y=-193.63253784179688, z=0.29999998211860657, yaw=-0.2429504096508026
Point #82: x=43.581199645996094, y=-190.1376953125, z=0.29999998211860657, yaw=-0.2429504096508026
Point #83: x=42.396034240722656, y=-186.63259887695312, z=0.29999998211860657, yaw=-0.2429504096508026
Point #84: x=26.41966438293457, y=-207.56503295898438, z=0.29999998211860657, yaw=179.757080078125
Point #85: x=24.93450927734375, y=-204.05868530273438, z=0.29999998211860657, yaw=179.757080078125
Point #86: x=26.4493408203125, y=-200.5651092529297, z=0.29999998211860657, yaw=179.757080078125
Point #87: x=190.0408172607422, y=13.617900848388672, z=0.29999998211860657, yaw=90.66463470458984
Point #88: x=32.1470947265625, y=-176.24366760253906, z=0.29999998211860657, yaw=91.5320816040039
Point #89: x=28.677757263183594, y=-177.4369659423828, z=0.29999998211860657, yaw=91.53196716308594
Point #90: x=-36.142330169677734, y=2.6372978687286377, z=0.29999998211860657, yaw=-0.13946533203125
