Point #0: x=-1.251381754875183, y=-88.57840728759766, z=0.3999999761581421, yaw=-89.5206298828125
Point #1: x=-187.91590881347656, y=110.29464721679688, z=0.3999999761581421, yaw=6.127446174621582
Point #2: x=-35.04545974731445, y=60.37095642089844, z=0.3999999761581421, yaw=3.264296531677246
Point #3: x=-65.19775390625, y=58.596858978271484, z=0.3999999761581421, yaw=4.644986629486084
Point #4: x=-5.177140235900879, y=-36.10665512084961, z=0.29999998211860657, yaw=90.4793701171875
Point #5: x=-129.49234008789062, y=116.30452728271484, z=0.29999998211860657, yaw=6.740969657897949
Point #6: x=-73.67804718017578, y=54.658119201660156, z=0.3999999761581421, yaw=-171.87071228027344
Point #7: x=-1.6745330095291138, y=-36.40524673461914, z=0.29999998211860657, yaw=-89.5206298828125
Point #8: x=-51.877197265625, y=0.6635543704032898, z=0.5, yaw=-0.558502197265625
Point #9: x=-27.67837905883789, y=0.4276637136936188, z=0.29999998211860657, yaw=-0.558502197265625
Point #10: x=-4.744453430175781, y=-87.82010650634766, z=0.29999998211860657, yaw=90.4793701171875
Point #11: x=-120.22152709960938, y=-162.30355834960938, z=0.5, yaw=-179.44082641601562
Point #12: x=-110.79167938232422, y=-158.7072296142578, z=0.5, yaw=0.5591728687286377
Point #13: x=-42.72737121582031, y=56.18915557861328, z=0.3999999761581421, yaw=-176.73570251464844
Point #14: x=-5.704257488250732, y=26.892499923706055, z=0.29999998211860657, yaw=90.4793701171875
Point #15: x=-2.206777334213257, y=27.20825958251953, z=0.29999998211860657, yaw=-89.52059936523438
Point #16: x=-179.35360717773438, y=48.57371520996094, z=0.29999998211860657, yaw=-179.5030517578125
Point #17: x=-0.8396321535110474, y=-136.18934631347656, z=0.29999998211860657, yaw=-89.5206298828125
Point #18: x=-1.366001844406128, y=-73.27887725830078, z=0.29999998211860657, yaw=-89.5206298828125
Point #19: x=-189.9064178466797, y=-159.4683380126953, z=0.5, yaw=0.5591732263565063
Point #20: x=71.9652328491211, y=5.029065132141113, z=0.29999998211860657, yaw=35.62284469604492
Point #21: x=-51.79652786254883, y=-88.22584533691406, z=0.29999998211860657, yaw=-0.08966064453125
Point #22: x=-85.0135498046875, y=-161.95578002929688, z=0.5, yaw=-179.44082641601562
Point #23: x=-15.883293151855469, y=-66.08358001708984, z=0.29999998211860657, yaw=179.4688262939453
Point #24: x=-87.48086547851562, y=-65.41157531738281, z=0.29999998211860657, yaw=179.4688262939453
Point #25: x=-15.850845336914062, y=-62.5837287902832, z=0.29999998211860657, yaw=-0.531158447265625
Point #26: x=-88.3387451171875, y=-61.91172790527344, z=0.29999998211860657, yaw=-0.531158447265625
Point #27: x=-175.84576416015625, y=-248.7012481689453, z=0.3996211588382721, yaw=-170.92434692382812
Point #28: x=28.051219940185547, y=60.21074676513672, z=0.29999998211860657, yaw=-178.32281494140625
Point #29: x=31.061054229736328, y=-3.60619854927063, z=0.29999998211860657, yaw=-179.8450927734375
Point #30: x=31.051593780517578, y=-0.10621661692857742, z=0.29999998211860657, yaw=0.1548919677734375
