Point #0: x=-64.64484405517578, y=24.471010208129883, z=0.5999999642372131, yaw=0.15919798612594604
Point #1: x=-67.25457000732422, y=27.96375846862793, z=0.5999999642372131, yaw=0.15919798612594604
Point #2: x=-87.62303161621094, y=12.967159271240234, z=0.5999999642372131, yaw=-179.84078979492188
Point #3: x=-84.9327621459961, y=16.47465705871582, z=0.5999999642372131, yaw=-179.84078979492188
Point #4: x=-103.17900085449219, y=-14.434906959533691, z=0.5999999642372131, yaw=-89.35775756835938
Point #5: x=-106.64958953857422, y=-17.073978424072266, z=0.5999999642372131, yaw=-89.35775756835938
Point #6: x=-110.9637451171875, y=59.68935775756836, z=0.5999999642372131, yaw=90.6422348022461
Point #7: x=-114.43209075927734, y=56.85029602050781, z=0.5999999642372131, yaw=90.6422348022461
Point #8: x=-111.120361328125, y=72.89886474609375, z=0.5999999642372131, yaw=90.6422348022461
Point #9: x=-114.58869934082031, y=70.05980682373047, z=0.5999999642372131, yaw=90.6422348022461
Point #10: x=-24.33677864074707, y=-57.78562545776367, z=0.5999999642372131, yaw=0.5967350006103516
Point #11: x=-110.19779968261719, y=-9.84222412109375, z=0.5999999642372131, yaw=90.6422348022461
Point #12: x=-113.64817810058594, y=-14.281184196472168, z=0.5999999642372131, yaw=90.6422348022461
Point #13: x=-109.92955780029297, y=-23.42840576171875, z=0.5999950766563416, yaw=90.6422348022461
Point #14: x=-113.40350341796875, y=-25.76747703552246, z=0.5999950766563416, yaw=90.6422348022461
Point #15: x=-56.86616134643555, y=140.53555297851562, z=0.5999999642372131, yaw=0.35212698578834534
Point #16: x=-54.34465789794922, y=137.05099487304688, z=0.5999999642372131, yaw=0.35212698578834534
Point #17: x=3.0477840900421143, y=130.21006774902344, z=0.5999999642372131, yaw=-179.6478271484375
Point #18: x=5.62622594833374, y=133.72601318359375, z=0.5999999642372131, yaw=-179.6478271484375
Point #19: x=45.76567459106445, y=137.4599609375, z=0.6000009179115295, yaw=0.32044798135757446
Point #20: x=48.546077728271484, y=140.9755401611328, z=0.6000009179115295, yaw=0.32044798135757446
Point #21: x=99.38441467285156, y=-6.305729389190674, z=0.5999999642372131, yaw=90.39070892333984
Point #22: x=53.122718811035156, y=133.94662475585938, z=0.6000292897224426, yaw=-179.67953491210938
Point #23: x=55.54227828979492, y=130.46006774902344, z=0.6000292897224426, yaw=-179.67953491210938
Point #24: x=-52.07392120361328, y=100.18904876708984, z=0.5999999642372131, yaw=89.83876037597656
Point #25: x=-48.56741714477539, y=102.47919464111328, z=0.5999999642372131, yaw=89.83876037597656
Point #26: x=-52.07392120361328, y=63.53809356689453, z=0.5999999642372131, yaw=89.83876037597656
Point #27: x=-48.58211135864258, y=60.62824249267578, z=0.5999999642372131, yaw=89.83876037597656
Point #28: x=-41.66858673095703, y=89.7454833984375, z=0.5999999642372131, yaw=-90.16121673583984
Point #29: x=-45.16095733642578, y=92.45532989501953, z=0.5999999642372131, yaw=-90.16121673583984
Point #30: x=-15.148191452026367, y=69.71400451660156, z=0.5999999642372131, yaw=0.07327299565076828
Point #31: x=-1.0131598711013794, y=69.71400451660156, z=0.5999999642372131, yaw=0.07327299565076828
Point #32: x=98.8006591796875, y=82.8908462524414, z=0.5999999642372131, yaw=90.39070892333984
Point #33: x=14.130091667175293, y=69.71400451660156, z=0.5999999642372131, yaw=0.07327299565076828
