Point #0: x=7180.2802734375, y=-15971.3759765625, z=293.5487976074219, yaw=-161.7006378173828
Point #1: x=-1729.6749267578125, y=-10933.376953125, z=288.5911865234375, yaw=179.53341674804688
Point #2: x=-1739.375732421875, y=-10929.8662109375, z=288.4645080566406, yaw=0.0624694786965847
Point #3: x=-1739.375732421875, y=-10929.8662109375, z=288.4645080566406, yaw=0.0624694786965847
Point #4: x=-1739.375732421875, y=-10929.8662109375, z=288.4645080566406, yaw=0.0624694786965847
Point #5: x=9643.2119140625, y=-12749.8388671875, z=154.04043579101562, yaw=-31.097658157348633
Point #6: x=6554.666015625, y=-442.0482177734375, z=45.935604095458984, yaw=22.530805587768555
Point #7: x=7871.2080078125, y=-3071.6171875, z=58.3605842590332, yaw=70.45955657958984
Point #8: x=7926.98681640625, y=-2924.9208984375, z=57.58015441894531, yaw=-109.54046630859375
Point #9: x=7926.98681640625, y=-2924.9208984375, z=57.58015441894531, yaw=-109.54046630859375
Point #10: x=6742.7841796875, y=852.954833984375, z=34.73978042602539, yaw=97.11671447753906
Point #11: x=9146.4345703125, y=4758.01123046875, z=75.34263610839844, yaw=170.97607421875
Point #12: x=-454.45440673828125, y=-3729.463623046875, z=166.88589477539062, yaw=27.202001571655273
Point #13: x=-1739.371826171875, y=-10933.3662109375, z=288.4645080566406, yaw=-179.93751525878906
Point #14: x=-1739.371826171875, y=-10933.3662109375, z=288.4645080566406, yaw=-179.93751525878906
Point #15: x=-1739.371826171875, y=-10933.3662109375, z=288.4645080566406, yaw=-179.93751525878906
Point #16: x=-1987.4962158203125, y=-10916.9775390625, z=290.14776611328125, yaw=-13.13469409942627
Point #17: x=5167.08935546875, y=1194.6810302734375, z=45.27942657470703, yaw=-111.92483520507812
Point #18: x=3422.532470703125, y=1029.7056884765625, z=64.7491683959961, yaw=3.686866283416748
Point #19: x=3422.532470703125, y=1029.7056884765625, z=64.7491683959961, yaw=3.686866283416748
Point #20: x=3422.532470703125, y=1029.7056884765625, z=64.7491683959961, yaw=3.686866283416748
Point #21: x=3731.3193359375, y=1046.0958251953125, z=59.16331481933594, yaw=-176.31314086914062
Point #22: x=3731.3193359375, y=1046.0958251953125, z=59.16331481933594, yaw=-176.31314086914062
Point #23: x=31.67784309387207, y=-3817.49462890625, z=169.252685546875, yaw=133.15164184570312
Point #24: x=3748.961181640625, y=1050.73974609375, z=58.86634063720703, yaw=3.686866283416748
Point #25: x=3748.961181640625, y=1050.73974609375, z=58.86634063720703, yaw=3.686866283416748
Point #26: x=3748.961181640625, y=1050.73974609375, z=58.86634063720703, yaw=3.686866283416748
Point #27: x=4102.8564453125, y=1070.0364990234375, z=56.394775390625, yaw=-176.31314086914062
Point #28: x=4102.8564453125, y=1070.0364990234375, z=56.394775390625, yaw=-176.31314086914062
Point #29: x=4102.8564453125, y=1070.0364990234375, z=56.394775390625, yaw=-176.31314086914062
Point #30: x=3749.1865234375, y=1047.2469482421875, z=58.86634063720703, yaw=-176.31314086914062
Point #31: x=4465.01513671875, y=1349.7279052734375, z=51.54456329345703, yaw=82.06256866455078
Point #32: x=6488.6787109375, y=-893.1923217773438, z=47.329349517822266, yaw=20.31197166442871
Point #33: x=6488.6787109375, y=-893.1923217773438, z=47.329349517822266, yaw=20.31197166442871
Point #34: x=6488.6787109375, y=-893.1923217773438, z=47.329349517822266, yaw=20.31197166442871
Point #35: x=6515.21875, y=-886.8131713867188, z=47.06422424316406, yaw=-158.3577880859375
Point #36: x=5153.13623046875, y=1192.5753173828125, z=45.19632339477539, yaw=-19.448097229003906
Point #37: x=4121.33544921875, y=1074.734375, z=56.33460235595703, yaw=3.686866283416748
Point #38: x=4121.33544921875, y=1074.734375, z=56.33460235595703, yaw=3.686866283416748
Point #39: x=4121.33544921875, y=1074.734375, z=56.33460235595703, yaw=3.686866283416748
Point #40: x=4432.35302734375, y=1091.2681884765625, z=57.84702682495117, yaw=-176.31314086914062
Point #41: x=4432.35302734375, y=1091.2681884765625, z=57.84702682495117, yaw=-176.31314086914062
Point #42: x=4432.35302734375, y=1091.2681884765625, z=57.84702682495117, yaw=-176.31314086914062
Point #43: x=4451.92822265625, y=1096.0367431640625, z=57.81867599487305, yaw=3.68686580657959
Point #44: x=4451.92822265625, y=1096.0367431640625, z=57.81867599487305, yaw=3.68686580657959
Point #45: x=4451.92822265625, y=1096.0367431640625, z=57.81867599487305, yaw=3.68686580657959
Point #46: x=4734.52490234375, y=1054.4830322265625, z=55.71531295776367, yaw=168.40284729003906
Point #47: x=4734.52490234375, y=1054.4830322265625, z=55.71531295776367, yaw=168.40284729003906
Point #48: x=4734.52490234375, y=1054.4830322265625, z=55.71531295776367, yaw=168.40284729003906
Point #49: x=3731.09423828125, y=1049.5885009765625, z=59.16331481933594, yaw=3.68686580657959
Point #50: x=7173.64306640625, y=-15965.30859375, z=293.7201843261719, yaw=-70.73737335205078
Point #51: x=-996.1788940429688, y=-3920.8818359375, z=171.06553649902344, yaw=19.404298782348633
Point #52: x=-984.0804443359375, y=-3920.330810546875, z=171.20301818847656, yaw=-160.595703125
